Show #,date,location,venue,setlist
397,"November 6, 1996"," Amsterdam, NL",RAI Parkhal,"['Long Road', 'Hail, Hail', 'Once', 'Animal', 'Last Exit', 'Dissident', 'In My Tree', 'Corduroy', 'Better Man', 'Habit', 'Mankind', 'Even Flow', 'Black', 'Jeremy', 'Sometimes', 'Rearviewmirror', 'Immortality', 'Alive', 'Porch', 'Who You Are', 'Lukin', 'State Of Love And Trust', 'Present Tense', 'Blood', 'Fame', 'Androgynous Mind', ""Rockin' In The Free World""]"
398,"November 7, 1996"," Paris, FR",Le Zenith,"['Wash', 'Hail, Hail', 'Last Exit', 'Once', 'Tremor Christ', 'Who You Are', 'Corduroy', 'Better Man', 'Save it for Later', 'Even Flow', 'Jeremy', 'Off He Goes', 'Animal', 'Daughter', 'Androgynous Mind', 'Improv', 'Lukin', 'Rearviewmirror', 'I Got Shit', 'Whipping', 'Alive', 'Roadhouse Blues', 'Sometimes', 'Black', 'State Of Love And Trust', 'Porch', 'Smile', 'Yellow Ledbetter']"
399,"November 9, 1996"," Zurich, CH",Hallenstadion,"['Animal', 'Hail, Hail', 'Once', 'Last Exit', 'Spin The Black Circle', 'Dissident', 'Who You Are', 'Whipping', 'Corduroy', 'Better Man', 'Rearviewmirror', 'Sometimes', 'Even Flow', 'Glorified G', 'Daughter', 'The Real Me', ""I'm One"", 'Go', 'Jeremy', 'Off He Goes', 'State Of Love And Trust', 'Lukin', 'Alive', 'Not For You', 'I Got Shit', 'Cinnamon Girl', 'Black', 'Leaving Here', ""Rockin' In The Free World""]"
400,"November 12, 1996"," Rome, IT",Palaeur,"['Release', 'Last Exit', 'Animal', 'Hail, Hail', 'Dissident', 'In My Tree', 'Corduroy', 'Better Man', 'Not For You', 'Even Flow', 'Daughter', 'Androgynous Mind', 'W.M.A.', 'Jeremy', 'Hunger Strike', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Sometimes', 'Rearviewmirror', 'Immortality', 'Lukin', 'Alive', 'Who You Are', 'Once', 'Present Tense', 'Smile', ""Rockin' In The Free World""]"
401,"November 13, 1996"," Milan, IT",Forum,"['The Kids Are Alright', 'Long Road', 'Go', 'Last Exit', 'Hail, Hail', 'Red Mosquito', 'Who You Are', 'Off He Goes', 'Corduroy', 'Better Man', 'Habit', 'Even Flow', 'Daughter', 'Darkness', 'Jeremy', 'Sometimes', 'Rearviewmirror', 'Present Tense', 'Alive', 'Once', 'State Of Love And Trust', 'Nothingman', 'Smile', 'Porch', 'Yellow Ledbetter']"
402,"November 15, 1996"," Prague, CZ",Sports Hall Prague,"['Go', 'Last Exit', 'Animal', 'Spin The Black Circle', 'Hail, Hail', 'Red Mosquito', 'Who You Are', 'Off He Goes', 'Corduroy', 'Better Man', 'Habit', 'Even Flow', 'Daughter', 'Noise of Carpet', 'Jeremy', 'Sometimes', 'Rearviewmirror', 'Present Tense', 'Black', 'Alive', 'Mankind', 'Once', 'Hunger Strike', 'State Of Love And Trust', 'Immortality', 'Smile', 'Porch']"
403,"November 17, 1996"," Budapest, HU",Sports Hall Hungary,"['Sometimes', 'Corduroy', 'Hail, Hail', 'Animal', 'Dissident', 'Who You Are', 'Black Red Yellow', 'Rearviewmirror', 'Better Man', 'Habit', 'Off He Goes', 'Even Flow', 'Glorified G', 'Daughter', 'Androgynous Mind', 'Jeremy', 'State Of Love And Trust', 'Immortality', 'Alive', 'Mankind', 'Young Man Blues', 'Lukin', 'I Got Shit', 'Present Tense', 'Once', 'Leaving Here', 'Porch']"
404,"November 19, 1996"," Istanbul, TR",World Trade Center,"['Release', 'Last Exit', 'Hail, Hail', 'Animal', 'Tremor Christ', 'In My Tree', 'Corduroy', 'Elderly Woman Behind The Counter In A Small Town', 'Habit', 'Even Flow', 'Daughter', 'Bull in The Heather', 'Androgynous Mind', 'Jeremy', 'Long Road', 'Sometimes', 'Rearviewmirror', 'Better Man', 'Alive', 'Blood', 'Fame', 'Who You Are', 'State Of Love And Trust', 'Once', 'Smile', 'Porch']"
405,"November 21, 1996"," Barcelona, ES",Sports Palace,"['Wash', 'Last Exit', 'Hail, Hail', 'Animal', 'Red Mosquito', 'Who You Are', 'Corduroy', 'Better Man', 'Off He Goes', 'Habit', 'Even Flow', 'Jeremy', 'Daughter', 'Androgynous Mind', 'Bull in The Heather', 'Happiness is a Warm Gun', 'Sometimes', 'Lukin', 'Rearviewmirror', 'Immortality', 'Alive', 'Porch', 'Dance It Away', 'Mankind', 'Once', 'State Of Love And Trust', 'Present Tense', 'Smile', 'Blood', 'Fame', 'Around The Bend']"
406,"November 22, 1996"," San Sebastian, ES",Anoeta Velodrome,"['Sometimes', 'Animal', 'Last Exit', 'Spin The Black Circle', 'Hail, Hail', 'Dissident', 'Who You Are', 'Corduroy', 'Better Man', 'Save it for Later', 'Whipping', 'I Got Shit', 'Even Flow', 'Daughter', 'Jeremy', 'Footsteps', 'Red Mosquito', 'Lukin', 'Habit', 'Rearviewmirror', 'Immortality', 'Alive', 'Go', 'State Of Love And Trust', 'Black', 'Porch', 'Yellow Ledbetter']"
407,"November 24, 1996"," Lisbon, PT",Cascais Pavilion,"['Release', 'Last Exit', 'Animal', 'Hail, Hail', 'Once', 'Dissident', 'In My Tree', 'Corduroy', 'Elderly Woman Behind The Counter In A Small Town', 'Whipping', 'Habit', 'Off He Goes', 'Even Flow', 'Daughter', 'Improv', 'Jeremy', 'Improv', 'Present Tense', 'Black Red Yellow', 'Rearviewmirror', 'Alive', 'Smile', 'Black', 'State Of Love And Trust', 'Porch']"
408,"November 25, 1996"," Lisbon, PT",Cascais Pavilion,"['Who You Are', 'Animal', 'Hail, Hail', 'Tremor Christ', 'Corduroy', 'Better Man', 'Not For You', 'Off He Goes', 'Mankind', 'Even Flow', 'Jeremy', 'Daughter', 'Androgynous Mind', 'Sometimes', 'Rearviewmirror', 'Immortality', 'Footsteps', 'Hunger Strike', 'State Of Love And Trust', 'Alive', 'Once', 'Black', 'Smile', 'Porch', 'Yellow Ledbetter', ""Rockin' In The Free World""]"
409,"June 8, 1997"," New York, NY","Downing Stadium, Randall's Island","['Corduroy', 'Yellow Ledbetter', ""Rockin' In The Free World"", 'Long Road']"
410,"November 12, 1997"," Santa Cruz, CA",The Catalyst,"['Sometimes', 'I Got Shit', 'Corduroy', 'Hail, Hail', 'Dissident', 'Even Flow', 'Brain Of J.', 'Given To Fly', 'Wishlist', 'Off He Goes', 'Last Exit', 'State Of Love And Trust', 'Do The Evolution', 'Happy Birthday', 'Immortality', 'Once', 'Alive']"
411,"November 14, 1997"," Oakland, CA",Oakland Stadium,"['Hail, Hail', 'Animal', 'Dissident', 'Even Flow', 'Jeremy', 'Last Exit', 'Given To Fly', 'Daughter', 'Hey Hey My My', 'Corduroy', 'Wishlist', 'Better Man', 'State Of Love And Trust', 'Do The Evolution', 'Black']"
412,"November 15, 1997"," Oakland, CA",Oakland Stadium,"['Long Road', 'Last Exit', 'Animal', 'Hail, Hail', 'Even Flow', 'Jeremy', 'Brain Of J.', 'Daughter', ""Don't Let The Sun Catch You Crying"", 'Corduroy', 'Wishlist', 'Better Man', 'Do The Evolution', 'Alive', 'Yellow Ledbetter']"
413,"November 18, 1997"," Oakland, CA",Oakland Stadium,"['I Got Shit', 'Hail, Hail', 'Animal', 'Dissident', 'Even Flow', 'Jeremy', 'Brain Of J.', 'Daughter', 'Rain', 'To Is a Preposition; Come Is a Verb', 'Better Man', 'Corduroy', 'Immortality', 'Do The Evolution', 'Alive', 'Black', 'We Belong Together']"
414,"November 19, 1997"," Oakland, CA",Oakland Stadium,"['Sometimes', 'Hail, Hail', 'Animal', 'Do The Evolution', 'Dissident', 'Even Flow', 'Given To Fly', 'Better Man', 'Off He Goes', 'Corduroy', 'Beast of Burden', 'Go', 'Black', 'Alive', 'Yellow Ledbetter', 'Sympathy for The Devil']"
415,"January 31, 1998"," Seattle, WA",Monkeywrench Radio,"['Do The Evolution', 'Given To Fly', 'Pilate', 'Wishlist', 'Brain Of J.', 'In Hiding', 'Spin The Black Circle', 'Nothingman']"
416,"February 20, 1998"," Maui, HI",Alexander M. Baldwin Amphitheatre,"['Corduroy', 'Hail, Hail', 'Brain Of J.', 'Faithfull', 'Red Mosquito', 'Wishlist', 'Even Flow', 'MFC', 'Improv', 'Habit', 'Better Man', 'Jeremy', 'Given To Fly', 'Daughter', 'Black', 'In Hiding', 'Do The Evolution', 'Last Exit', 'Once', 'Smile', 'Yellow Ledbetter']"
417,"February 21, 1998"," Maui, HI",Alexander M. Baldwin Amphitheatre,"['Do The Evolution', 'Animal', 'Hail, Hail', 'Brain Of J.', 'Dissident', 'Faithfull', 'In My Tree', 'Wishlist', 'Off He Goes', 'Corduroy', 'Given To Fly', 'Even Flow', 'Daughter', 'Noise of Carpet', 'MFC', 'Lukin', 'Immortality', 'Alive', 'I Got Shit', 'Better Man', 'Save it for Later', 'Around The Bend', 'State Of Love And Trust']"
418,"February 26, 1998"," Wellington, NZ",Queen's Wharf Events Center,"['Long Road', 'Brain Of J.', 'Do The Evolution', 'Animal', 'Dissident', 'Faithfull', 'Even Flow', 'Corduroy', 'Lukin', 'Wishlist', 'Given To Fly', 'Hail, Hail', 'In Hiding', 'Jeremy', 'Daughter', 'MFC', 'Immortality', 'Alive', 'Who You Are', 'Last Exit', 'Once', 'Better Man', 'Yellow Ledbetter']"
419,"February 28, 1998"," Auckland, NZ",Ericsson Stadium,"['Sometimes', 'Hail, Hail', 'Brain Of J.', 'Faithfull', 'Animal', 'Even Flow', 'I Got Shit', 'Wishlist', 'Corduroy', 'Given To Fly', 'Jeremy', 'Daughter', 'I Hope I Never', 'MFC', 'Habit', 'State Of Love And Trust', 'Off He Goes', 'Black', 'Alive', 'Do The Evolution', 'Better Man', 'Yellow Ledbetter']"
420,"March 2, 1998"," Melbourne, AU",Melbourne Park,"['Long Road', 'Do The Evolution', 'Animal', 'Hail, Hail', 'Dissident', 'Even Flow', 'Faithfull', 'MFC', 'Corduroy', 'Wishlist', 'Jeremy', 'Daughter', 'Trouble', 'Given To Fly', 'Last Exit', 'Off He Goes', 'Rearviewmirror', 'Not For You', 'Black', 'Alive', 'Brain Of J.', 'Better Man', 'Smile', ""Rockin' In The Free World""]"
421,"March 3, 1998"," Melbourne, AU",Melbourne Park,"['Sometimes', 'Last Exit', 'Brain Of J.', 'Faithfull', 'Animal', 'Red Mosquito', 'Corduroy', 'Wishlist', 'Once', 'Jeremy', 'Given To Fly', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Trouble', 'Better Man', 'MFC', 'Improv', 'Habit', 'Even Flow', 'Do The Evolution', 'Hail, Hail', 'State Of Love And Trust', 'Black', 'Alive']"
422,"March 5, 1998"," Melbourne, AU",Melbourne Park,"['Release', 'Brain Of J.', 'Animal', 'Faithfull', 'In My Tree', 'I Got Shit', 'Beds Are Burning', 'Corduroy', 'Wishlist', 'Even Flow', 'Spin The Black Circle', 'Daughter', 'Pebbles', 'Given To Fly', 'Hail, Hail', 'MFC', 'Crazy Mary', 'Elderly Woman Behind The Counter In A Small Town', 'Off He Goes', 'State Of Love And Trust', 'Do The Evolution', 'Alive', 'Go', 'Black', 'Rearviewmirror', 'Immortality', 'Indifference', 'Porch']"
423,"March 7, 1998"," Adelaide, AU",Thebarton Oval,"['MFC', 'Brain Of J.', 'Hail, Hail', 'Animal', 'Do The Evolution', 'Dissident', 'Jeremy', 'Corduroy', 'Wishlist', 'Lukin', 'I Got Shit', 'Even Flow', 'Daughter', 'Hunger Strike', 'Given To Fly', 'Improv', 'Habit', 'Elderly Woman Behind The Counter In A Small Town', 'Nothingman', 'State Of Love And Trust', 'Alive', 'Go', 'Once', 'Better Man', 'Save it for Later', 'Last Exit', 'Yellow Ledbetter']"
424,"March 9, 1998"," Sydney, AU",Sydney Entertainment Centre,"['Long Road', 'Hail, Hail', 'Brain Of J.', 'Do The Evolution', 'Faithfull', 'Interstellar Overdrive', 'Corduroy', 'Wishlist', 'MFC', 'Even Flow', 'Animal', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Given To Fly', 'Jeremy', 'Dead Man', 'Better Man', 'Rearviewmirror', 'Happy Birthday', 'Who You Are', 'Go', 'Once', 'Leaving Here']"
425,"March 11, 1998"," Sydney, AU",Sydney Entertainment Centre,"['Oceans', 'Last Exit', 'Brain Of J.', 'Hail, Hail', 'In Hiding', 'Do The Evolution', 'Beds Are Burning', 'Corduroy', 'Wishlist', 'MFC', 'Daughter', 'Push Me, Pull Me', 'Even Flow', 'Mankind', 'Elderly Woman Behind The Counter In A Small Town', 'Lukin', 'Not For You', 'Black', 'Porch', 'Given To Fly', 'Better Man', 'Immortality', 'Smile', ""Rockin' In The Free World""]"
426,"March 12, 1998"," Sydney, AU",Sydney Entertainment Centre,"['Sometimes', 'Do The Evolution', 'Animal', 'Hail, Hail', 'Dissident', 'Faithfull', 'Even Flow', 'The Real Me', 'I Got Shit', 'Corduroy', 'MFC', 'Improv', 'Habit', 'Daughter', 'Candle in The Wind', 'W.M.A.', 'Nothingman', 'Given To Fly', 'Spin The Black Circle', 'Improv', 'Wishlist', 'Whipping', 'Rearviewmirror', 'Go', 'State Of Love And Trust', 'Brain Of J.', 'Better Man', 'Save it for Later', 'Throw Your Arms Around Me', 'Alive']"
427,"March 14, 1998"," Brisbane, AU",Brisbane Entertainment Centre,"['Release', 'Hail, Hail', 'Animal', 'Do The Evolution', 'Faithfull', 'Corduroy', 'Wishlist', 'In My Tree', 'Alive', 'Nothingman', 'Brain Of J.', 'Given To Fly', 'Daughter', 'MFC', ""I'm Open"", 'I Got Shit', 'Immortality', 'Black', 'Even Flow', 'Porch', 'Footsteps', 'Leaving Here', 'Better Man', 'Save it for Later', 'Spin The Black Circle', ""Rockin' In The Free World""]"
428,"March 15, 1998"," Brisbane, AU",Brisbane Entertainment Centre,"['Long Road', 'Go', 'Do The Evolution', 'Brain Of J.', 'In Hiding', 'Alive', 'Last Exit', 'Wishlist', 'Corduroy', 'MFC', 'Nothingman', 'Even Flow', 'Jeremy', 'Given To Fly', 'Throw Your Arms Around Me', 'Off He Goes', 'Improv', 'Habit', 'Rearviewmirror', 'Mankind', 'Hail, Hail', 'Not For You', 'Better Man', 'Blood', 'Indifference', ""Rockin' In The Free World""]"
429,"March 19, 1998"," Perth, AU",Perth Entertainment Centre,"['Sometimes', 'Do The Evolution', 'Animal', 'Hail, Hail', 'Dissident', 'Faithfull', 'Even Flow', 'I Got Shit', 'Corduroy', 'MFC', 'Improv', 'Habit', 'Daughter', 'Nothingman', 'Given To Fly', 'Leatherman', 'Rearviewmirror', 'Wishlist', 'Once', 'Alive', 'Better Man', 'Immortality', 'Black', ""Baba O'Riley""]"
430,"March 20, 1998"," Perth, AU",Perth Entertainment Centre,"['Long Road', 'Brain Of J.', 'Last Exit', 'Animal', 'Pilate', 'Lukin', 'Corduroy', 'In My Tree', 'Magic Bus', 'Wishlist', 'Do The Evolution', 'Jeremy', 'Hail, Hail', 'Daughter', 'Pebbles', 'Off He Goes', 'Elderly Woman Behind The Counter In A Small Town', 'Hunger Strike', 'Not For You', 'Faithfull', 'Alive', 'Given To Fly', 'Go', 'State Of Love And Trust', 'Smile', 'Even Flow', 'I Am A Patriot', 'Better Man', 'Yellow Ledbetter']"
431,"May 1, 1998"," New York, NY",Ed Sullivan Theater,['Wishlist']
432,"May 7, 1998"," Seattle, WA",ARO.space,"['Interstellar Overdrive', 'Corduroy', 'Do The Evolution', 'Brain Of J.', 'Last Exit', 'Given To Fly', 'In Hiding', 'Off He Goes', 'MFC', 'Improv', 'Habit', 'Wishlist', 'Faithfull', 'Hail, Hail', 'Mankind', 'Leatherman', 'Leaving Here', 'Last Kiss']"
433,"June 14, 1998"," Washington, DC",RFK Stadium,"['Corduroy', 'Hail, Hail', 'Brain Of J.', 'Even Flow', 'Given To Fly', 'Do The Evolution', 'Wishlist', 'Better Man', 'Save it for Later']"
434,"June 20, 1998"," Missoula, MT",Washington-Grizzly Stadium,"['Corduroy', 'Animal', 'Hail, Hail', 'Brain Of J.', 'In Hiding', 'Jeremy', 'Do The Evolution', 'Pilate', 'Even Flow', 'Daughter', 'Improv', 'MFC', 'Wishlist', 'Present Tense', 'Habit', 'Given To Fly', 'Immortality', 'Alive', 'Better Man', 'Black', 'State Of Love And Trust', 'Once', 'Yellow Ledbetter']"
435,"June 21, 1998"," Park City, UT",The Canyons,"['Release', 'Hail, Hail', 'Brain Of J.', 'Last Exit', 'Tremor Christ', 'Corduroy', 'MFC', 'Off He Goes', 'Alive', 'Given To Fly', 'All Those Yesterdays', 'Daughter', 'Go Away Little Girl', 'Even Flow', 'Footsteps', 'I Got Shit', 'Rearviewmirror', 'Do The Evolution', 'Go', 'Wishlist', 'Better Man', 'Save it for Later', 'Leaving Here']"
436,"June 23, 1998"," Denver, CO",Fiddler's Green,"['Long Road', 'Corduroy', 'Hail, Hail', 'Brain Of J.', 'Dissident', 'Given To Fly', 'MFC', 'Habit', 'In Hiding', 'Even Flow', 'Daughter', 'Had A Dad', 'Monkey Gone to Heaven', 'Pilate', 'Off He Goes', 'I Got Shit', 'Do The Evolution', 'Alive', 'Black', 'Wishlist', 'Rearviewmirror', 'Better Man', 'Leaving Here', 'I Am A Patriot']"
437,"June 24, 1998"," Rapid City, SD",Rushmore Civic Center,"['Do The Evolution', 'Animal', 'Last Exit', 'Brain Of J.', 'Given To Fly', 'Jeremy', 'Faithfull', 'Corduroy', 'MFC', 'Not For You', 'Even Flow', 'Daughter', ""I've Been Tired"", 'Three Little Birds', 'Nothingman', 'Leatherman', 'Better Man', 'Immortality', 'Improv', 'Go', 'Alive', 'Hail, Hail', 'State Of Love And Trust', 'Black', 'Wishlist', 'Rearviewmirror']"
438,"June 26, 1998"," East Troy, WI",Alpine Valley ,"['Do The Evolution', 'Animal', 'Last Exit', 'Brain Of J.', 'Given To Fly', 'In Hiding', 'Corduroy', 'Wishlist', 'Lukin', 'Even Flow', 'Daughter', 'Stuff and Nonsense', 'Dissident', 'MFC', 'Better Man', 'Red Mosquito', 'Black', 'Hail, Hail', 'Mankind', 'I Got Shit', 'Cinnamon Girl', 'Rearviewmirror', 'Alive', 'Yellow Ledbetter', 'Machine Gun']"
439,"June 27, 1998"," East Troy, WI",Alpine Valley ,"['Interstellar Overdrive', 'Corduroy', 'Hail, Hail', 'Brain Of J.', 'Last Exit', 'Tremor Christ', 'Given To Fly', 'Jeremy', 'Faithfull', 'Nothingman', 'Improv', 'MFC', 'Habit', 'Off He Goes', 'Even Flow', 'Once', 'All Those Yesterdays', 'Go', 'Immortality', 'Do The Evolution', 'Leatherman', 'Better Man', 'More Than This', 'Wishlist', 'Alive', 'Smile']"
440,"June 29, 1998"," Chicago, IL",United Center,"['Long Road', 'Do The Evolution', 'Brain Of J.', 'Hail, Hail', 'Go', 'Dissident', 'Even Flow', 'Given To Fly', 'Corduroy', 'Rearviewmirror', 'In Hiding', 'Jeremy', 'Daughter', 'Ray of Light', 'Another Brick In The Wall (Part 2)', 'Nothingman', 'MFC', 'Off He Goes', 'Present Tense', 'Alive', 'Wishlist', 'Better Man', 'Save it for Later', 'State Of Love And Trust', 'Black', 'Last Exit', ""Baba O'Riley"", 'Yellow Ledbetter']"
441,"June 30, 1998"," Minneapolis, MN",Target Center,"['Sometimes', 'Last Exit', 'Brain Of J.', 'Hail, Hail', 'Faithfull', 'Even Flow', 'Corduroy', 'I Got Shit', 'Pilate', 'Daughter', 'Noise of Carpet', 'MFC', 'Lukin', 'Wishlist', 'Mankind', 'All Those Yesterdays', 'Black', 'Alive', 'Do The Evolution', 'Given To Fly', 'Leatherman', 'Better Man', 'Leaving Here', 'My Generation', 'Porch']"
442,"July 2, 1998"," Maryland Heights, MO",Riverport Amphitheater,"['Oceans', 'Hail, Hail', 'Brain Of J.', 'Spin The Black Circle', 'Tremor Christ', 'Given To Fly', 'In Hiding', 'Corduroy', 'MFC', 'Wishlist', 'Nothingman', 'Improv', 'Habit', 'Even Flow', 'Daughter', 'Institutionalized', 'Immortality', 'Black', 'Alive', 'Do The Evolution', 'Jeremy', 'I Got Shit', 'Better Man', 'Save it for Later', ""Fuckin' Up"", 'Yellow Ledbetter']"
443,"July 3, 1998"," Kansas City, MO",Sandstone Amphitheater,"['Corduroy', 'Hail, Hail', 'Brain Of J.', 'Dissident', 'Faithfull', 'Jeremy', 'I Got Shit', 'MFC', 'Wishlist', 'Last Exit', 'Given To Fly', 'Even Flow', 'Daughter', 'The Whole of the Moon', 'Footsteps', 'Alive', 'Go', 'Nothingman', 'Better Man', 'Do The Evolution', 'Smile', ""Rockin' In The Free World""]"
444,"July 5, 1998"," Dallas, TX",Reunion Arena,"['Sometimes', 'Last Exit', 'Brain Of J.', 'Hail, Hail', 'Given To Fly', 'In Hiding', 'Interstellar Overdrive', 'Corduroy', 'Go', 'MFC', 'Wishlist', 'Rearviewmirror', 'Pilate', 'Alive', 'Spin The Black Circle', 'Off He Goes', 'Even Flow', 'Daughter', 'Mother', 'Monkey Gone to Heaven', 'Mankind', 'Do The Evolution', 'Jeremy', 'Immortality', 'Better Man', 'Save it for Later', 'Sonic Reducer']"
445,"July 7, 1998"," Albuquerque, NM",Tingley Coliseum,"['Brain Of J.', 'Hail, Hail', 'Corduroy', 'Rearviewmirror', 'Given To Fly', 'Dissident', 'Spin The Black Circle', 'Faithfull', 'Alive', 'MFC', 'Habit', 'Wishlist', 'Improv', 'Crazy Mary', 'Nothingman', 'Jeremy', 'Do The Evolution', 'Better Man', 'Black', 'Last Exit', 'Even Flow', 'Daughter', ""Fuckin' Up"", ""Rockin' In The Free World"", 'Yellow Ledbetter']"
446,"July 8, 1998"," Phoenix, AZ",Veterans Memorial Coliseum,"['Interstellar Overdrive', 'Corduroy', 'Hail, Hail', 'Brain Of J.', 'Tremor Christ', 'In Hiding', 'Even Flow', 'Given To Fly', 'Leatherman', 'Wishlist', 'Jeremy', 'Spin The Black Circle', 'Daughter', 'W.M.A.', 'MLK', 'I Got Shit', 'Elderly Woman Behind The Counter In A Small Town', 'Rearviewmirror', 'Black', 'Better Man', 'Save it for Later', 'Go', 'Do The Evolution', 'Alive', 'Immortality', 'Leaving Here']"
447,"July 10, 1998"," San Diego, CA",Cox Arena,"['Long Road', 'Corduroy', 'Last Exit', 'Brain Of J.', 'Do The Evolution', 'Given To Fly', 'In Hiding', 'Rearviewmirror', 'Immortality', 'Wishlist', 'Nothingman', 'Spin The Black Circle', 'Even Flow', 'Daughter', 'Roam', 'MFC', 'Alive', 'Hail, Hail', 'Jeremy', 'Go', 'Lukin', 'Better Man', 'Leaving Here', 'Black', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
448,"July 11, 1998"," Las Vegas, NV",Thomas & Mack Center,"['MFC', 'Corduroy', 'Brain Of J.', 'Hail, Hail', 'Given To Fly', 'Dissident', 'Even Flow', 'Faithfull', 'Jeremy', 'Nothingman', 'Leatherman', 'Wishlist', 'Lukin', 'Daughter', 'White Girl', 'W.M.A.', 'Better Man', 'Rearviewmirror', 'Alive', 'Spin The Black Circle', 'Do The Evolution', 'Habit', 'Black', 'Last Exit']"
449,"July 13, 1998"," Inglewood, CA",The Forum,"['Sometimes', 'Corduroy', 'Hail, Hail', 'Brain Of J.', 'In Hiding', 'Even Flow', 'Given To Fly', 'MFC', 'Not For You', 'Wishlist', 'Jeremy', 'Do The Evolution', 'Dissident', 'Present Tense', 'Spin The Black Circle', 'Rearviewmirror', 'Go', 'Elderly Woman Behind The Counter In A Small Town', 'Better Man', 'Save it for Later', 'Daughter', 'The New World', 'I Must Not Think Bad Thoughts', 'Alive', ""Baba O'Riley""]"
450,"July 14, 1998"," Inglewood, CA",The Forum,"['Release', 'Last Exit', 'Brain Of J.', 'Hail, Hail', 'Red Mosquito', 'Given To Fly', 'Corduroy', 'I Got Shit', 'Off He Goes', 'Even Flow', 'Faithfull', 'Daughter', 'The KKK Took My Baby Away', 'I Believe In Miracles', 'Nothingman', 'Jeremy', 'Habit', 'Better Man', 'Alive', 'Do The Evolution', 'Rearviewmirror', 'Wishlist', 'Leaving Here', 'The KKK Took My Baby Away']"
451,"July 16, 1998"," Sacramento, CA",Arco Arena,"['Spin The Black Circle', 'Hail, Hail', 'Brain Of J.', 'Given To Fly', 'Corduroy', 'MFC', 'Habit', 'Even Flow', 'Jeremy', 'Daughter', 'Noise of Carpet', 'Immortality', 'I Got Shit', 'Rearviewmirror', 'Nothingman', 'Wishlist', 'Alive', 'Go', 'Do The Evolution', 'Better Man', 'In My Tree', 'Black', 'Porch', 'Yellow Ledbetter']"
452,"July 18, 1998"," Portland, OR",Rose Garden Arena,"['Corduroy', 'Hail, Hail', 'Brain Of J.', 'Spin The Black Circle', 'Red Mosquito', 'Given To Fly', 'Even Flow', 'In Hiding', 'Jeremy', 'Daughter', ""I've Been Tired"", 'MFC', 'In My Tree', 'Wishlist', 'Elderly Woman Behind The Counter In A Small Town', 'Present Tense', 'Rearviewmirror', 'Alive', 'Do The Evolution', 'Black', 'Leatherman', 'Better Man', 'Leaving Here', 'Go', ""Fuckin' Up""]"
453,"July 19, 1998"," Vancouver, BC",Pacific Coliseum,"['Sometimes', 'Go', 'Hail, Hail', 'Brain Of J.', 'Dissident', 'Even Flow', 'Given To Fly', 'Corduroy', 'MFC', 'Last Exit', 'Lukin', 'Wishlist', 'Jeremy', 'Daughter', 'Hey Hey My My', 'Not For You', 'Off He Goes', 'Better Man', 'Rearviewmirror', 'Black', 'Do The Evolution', 'Nothingman', 'Alive', 'Leaving Here', 'Yellow Ledbetter', ""Baba O'Riley""]"
454,"July 21, 1998"," Seattle, WA",Memorial Stadium,"['Corduroy', 'Whipping', 'Hail, Hail', 'Brain Of J.', 'Dissident', 'Even Flow', 'Jeremy', 'Given To Fly', 'Leatherman', 'In Hiding', 'State Of Love And Trust', 'Daughter', 'Noise of Carpet', 'MFC', 'Better Man', 'Rearviewmirror', 'Black', 'Alive', 'Do The Evolution', 'Wishlist', 'I Got Shit', 'Footsteps', 'Spin The Black Circle', 'Go', ""Baba O'Riley"", 'Yellow Ledbetter']"
455,"July 22, 1998"," Seattle, WA",Memorial Stadium,"['Last Exit', 'Animal', 'Spin The Black Circle', 'Brain Of J.', 'Faithfull', 'Red Mosquito', 'Given To Fly', 'MFC', 'Habit', 'Not For You', 'Daughter', 'Beginning to See The Light', 'Even Flow', 'Off He Goes', 'Better Man', 'Lukin', 'Present Tense', 'Mankind', 'Alive', 'Corduroy', 'Hail, Hail', 'Do The Evolution', 'Porch', 'Wishlist', 'Leatherman', 'Leaving Here', ""Fuckin' Up"", 'Yellow Ledbetter']"
456,"August 17, 1998"," Noblesville, IN",Deer Creek Music Center,"['Long Road', 'Hail, Hail', 'Brain Of J.', 'Last Exit', 'Given To Fly', 'Corduroy', 'MFC', 'Jeremy', 'Immortality', 'Even Flow', 'Nothingman', 'Rearviewmirror', 'Wishlist', 'In Hiding', 'Spin The Black Circle', 'Alive', 'Go', 'Better Man', ""Don't Let Me Down"", 'Daughter', 'Do The Evolution', 'Leaving Here', 'Yellow Ledbetter']"
457,"August 18, 1998"," East Lansing, MI",Breslin Student Events Center,"['Release', 'Do The Evolution', 'Spin The Black Circle', 'Brain Of J.', 'Dissident', 'Given To Fly', 'Corduroy', 'MFC', 'Wishlist', 'Jeremy', 'Even Flow', 'Faithfull', 'Elderly Woman Behind The Counter In A Small Town', 'Off He Goes', 'Rearviewmirror', 'Hail, Hail', 'I Got Shit', 'Alive', 'Black', 'Soldier Of Love']"
